Scheduled Departure,Date,Destination Code,Destination City,Flight Number,Airline,Status,Actual Departure Time
13:40,30 Nov,GRU,Sao Paulo,G37665,Gol,Departed,14:20
13:45,30 Nov,VDM,Viedma,AR1640,Aerolineas Argentinas,Departed,14:11
14:00,30 Nov,USH,Ushuaia,AR1886,Aerolineas Argentinas,Departed,15:12
14:10,30 Nov,BRC,San Carlos de Bariloche,AR1676,Aerolineas Argentinas,Departed,15:33
14:30,30 Nov,UAQ,San Juan,AR1422,Aerolineas Argentinas,Departed,14:45
14:45,30 Nov,RES,Resistencia,AR1782,Aerolineas Argentinas,Departed,15:28
15:15,30 Nov,GRU,Sao Paulo,AR1242,Aerolineas Argentinas,Departed,16:21
15:15,30 Nov,REL,Trelew,AR1850,Aerolineas Argentinas,Departed,16:09
15:25,30 Nov,CRD,Comodoro Rivadavia,AR1826,Aerolineas Argentinas,Departed,18:21
15:25,30 Nov,TUC,Tucuman,AR1486,Aerolineas Argentinas,Departed,17:32
15:40,30 Nov,NQN,Neuquen,AR1656,Aerolineas Argentinas,Departed,16:11
16:00,30 Nov,BRC,San Carlos de Bariloche,AR1690,Aerolineas Argentinas,Departed,16:31
16:05,30 Nov,PRA,Parana,AR1728,Aerolineas Argentinas,Departed,16:17
16:10,30 Nov,IRJ,La Rioja,AR1440,Aerolineas Argentinas,Departed,16:59
16:20,30 Nov,SFN,Santa Fe,AR1722,Aerolineas Argentinas,Departed,17:34
16:25,30 Nov,FTE,El Calafate,AR1874,Aerolineas Argentinas,Departed,17:17
16:45,30 Nov,BOG,Bogota,AR1360,Aerolineas Argentinas,Departed,17:16
17:00,30 Nov,CTC,Catamarca,AR1442,Aerolineas Argentinas,Departed,17:57
17:15,30 Nov,MDQ,Mar Del Plata,AR1610,Aerolineas Argentinas,Departed,17:36
17:25,30 Nov,COR,Cordoba,AR1544,Aerolineas Argentinas,Departed,18:19
17:50,30 Nov,JUJ,Jujuy,AR1472,Aerolineas Argentinas,Departed,20:11
18:00,30 Nov,COR,Cordoba,AR1506,Aerolineas Argentinas,Departed,19:24
18:05,30 Nov,GRU,Sao Paulo,G37685,Gol,Departed,18:34
18:15,30 Nov,MDZ,Mendoza,AR1402,Aerolineas Argentinas,Departed,19:08
18:25,30 Nov,RSA,Santa Rosa,AR1520,Aerolineas Argentinas,Departed,18:30
18:35,30 Nov,UAQ,San Juan,AR1424,Aerolineas Argentinas,Estimated,20:30
18:50,30 Nov,IGR,Iguazu,AR1740,Aerolineas Argentinas,Departed,19:39
18:50,30 Nov,LIM,Lima,AR1364,Aerolineas Argentinas,Departed,19:12
19:05,30 Nov,MDZ,Mendoza,AR1416,Aerolineas Argentinas,Departed,19:32
19:10,30 Nov,NQN,Neuquen,AR1654,Aerolineas Argentinas,Departed,19:37
19:10,30 Nov,LUQ,San Luis,AR1432,Aerolineas Argentinas,Departed,19:42
19:10,30 Nov,SSA,Salvador,AR1220,Aerolineas Argentinas,Departed,19:57
19:20,30 Nov,SDE,Santiago Del Estero,AR1490,Aerolineas Argentinas,Departed,20:23
19:30,30 Nov,SCL,Santiago,AR1282,Aerolineas Argentinas,Departed,22:12
19:30,30 Nov,COR,Cordoba,AR1500,Aerolineas Argentinas,Departed,21:07
19:35,30 Nov,PSS,Posadas,AR1762,Aerolineas Argentinas,Departed,21:10
20:10,30 Nov,GIG,Rio De Janeiro,AR1262,Aerolineas Argentinas,Departed,22:03
20:20,30 Nov,FLN,Florianopolis,G37693,Gol,Departed,20:39
20:25,30 Nov,BHI,Bahia Blanca,AR1622,Aerolineas Argentinas,Departed,21:27
20:35,30 Nov,ROS,Rosario,AR1708,Aerolineas Argentinas,Departed,20:54
20:45,30 Nov,NQN,Neuquen,AR1652,Aerolineas Argentinas,Departed,21:42
21:40,30 Nov,GRU,Sao Paulo,AR1246,Aerolineas Argentinas,Departed,23:28
23:55,30 Nov,ASU,Asuncion,AR1340,Aerolineas Argentinas,Departed,00:49
02:05,01 Dec,RGA,Rio Grande,AR1844,Aerolineas Argentinas,Departed,02:16
04:05,01 Dec,REL,Trelew,AR1854,Aerolineas Argentinas,Departed,04:06
04:20,01 Dec,BSB,Brasilia,AR1216,Aerolineas Argentinas,Departed,04:30
