],FLIGHT,FROM,AIRLINE,AIRCRAFT,,STATUS
16:40,FO5169,Salta (SLA),Flybondi,B738 (LV-KEH),,Diverted to EZE
16:40,FO6061,Mendoza (MDZ),Flybondi,738,,Unknown
16:45,AR1483,Tucuman (TUC),Aerolineas Argentinas,E190 (LV-CPJ),,Landed 16:42
16:55,AR1551,Cordoba (COR),Aerolineas Argentinas,B738 (LV-FVO),,Landed 16:54
16:55,AR1891,El Calafate (FTE),Aerolineas Argentinas,B738 (LV-FXQ),,Landed 16:48
17:00,FO6103,Puerto Iguazu (IGR),Flybondi,B738 (LV-KEG),,Unknown
17:05,G37684,Sao Paulo (GRU),GOL Linhas Aereas,B38M (PS-GPD),,Landed 16:51
17:10,AR1779,Formosa (FMA),Aerolineas Argentinas (Retro Livery),B737 (LV-GOO),,Landed 17:08
17:15,AR1505,Cordoba (COR),Aerolineas Argentinas,E190 (LV-CEU),,Landed 17:35
17:20,AR1451,Salta (SLA),Aerolineas Argentinas,B738 (LV-GVA),,Landed 18:59
17:25,AR1635,San Carlos de Bariloche (BRC),Aerolineas Argentinas,B38M (LV-HKW),,Landed 17:11
17:35,AR1773,Corrientes (CNQ),Aerolineas Argentinas,B737 (LV-CBT),,Landed 17:25
17:40,AR1503,Mendoza (MDZ),Aerolineas Argentinas (Skyteam Livery),B737 (LV-BZA),,Landed 17:29
17:40,FO5273,San Carlos de Bariloche (BRC),Flybondi,B738 (LV-KDR),,Unknown
17:45,AR1481,Tucuman (TUC),Aerolineas Argentinas,E190 (LV-CID),,Landed 17:31
17:45,AR1609,Mar del Plata (MDQ),Aerolineas Argentinas,E190 (LV-FPT),,Landed 17:19
17:45,AR1839,Comodoro Rivadavia (CRD),Aerolineas Argentinas,B738 (LV-CXT),,Landed 17:39
17:55,FO5015,Cordoba (COR),Flybondi,B738 (LV-KCD),,Unknown
18:00,WJ3015,Santiago (SCL),JetSMART (King Penguin Livery),A320 (LV-JQE),,Landed 17:50
18:05,AR1696,El Calafate (FTE),Aerolineas Argentinas,B738 (LV-GVB),,Landed 18:06
18:20,AR1783,Resistencia (RES),Aerolineas Argentinas (SkyTeam Livery),E190 (LV-FPS),,Landed 17:54
18:20,LA8142,Rio de Janeiro (GIG),LATAM Airlines,A320 (PR-MBH),,Landed 18:11
18:25,AR1685,San Carlos de Bariloche (BRC),Aerolineas Argentinas,B738 (LV-GGQ),,Landed 18:02
18:35,FO5311,Puerto Madryn (PMY),Flybondi,B738 (LV-KEF),,Landed 18:19
18:40,AR1287,Santiago (SCL),Aerolineas Argentinas,B738 (LV-GUB),,Landed 18:29
18:50,AR1629,Bahia Blanca (BHI),Aerolineas Argentinas,E190 (LV-CPI),,Landed 18:50
18:55,AR1485,Salta (SLA),Aerolineas Argentinas,E190 (LV-CIE),,Landed 18:47
18:55,FO5273,San Carlos de Bariloche (BRC),Flybondi,B738 (LV-KDR),,Diverted to EZE
19:00,G37692,Florianopolis (FLN),GOL Linhas Aereas,B38M (PS-GPH),,Landed 18:25
19:10,AR1415,Mendoza (MDZ),Aerolineas Argentinas,B738 (LV-FVN),,Landed 19:12
19:10,AR1667,Esquel (EQS),Aerolineas Argentinas,B38M (LV-KEJ),,Landed 19:05
19:20,ZP818,Asuncion (ASU),Paranair,CRJ2 (ZP-CRR),,Landed 19:19
19:25,AR1441,La Rioja (IRJ),Aerolineas Argentinas,E190 (LV-CIH),,Landed 18:53
19:25,AR1603,Mar del Plata (MDQ),Aerolineas Argentinas,E190 (LV-CHO),,Landed 19:22
19:25,AR1677,San Carlos de Bariloche (BRC),Aerolineas Argentinas,B738 (LV-GFQ),,Landed 20:16
19:30,AR1803,Rio Gallegos (RGL),Aerolineas Argentinas,B38M (LV-KEI),,Landed 19:15
19:40,AR1351,Punta del Este (PDP),Aerolineas Argentinas,E190 (LV-CMB),,Landed 20:12
19:45,AR1421,San Juan (UAQ),Aerolineas Argentinas,E190 (LV-CKZ),,Landed 19:38
19:45,FO5023,Cordoba (COR),Flybondi,B738 (LV-KCD),,Landed 17:22
19:49,WJ3449,Neuquen (NQN),JetSMART (Jaguar Livery),A320 (LV-HVT),,Landed 19:26
19:55,AR1487,Tucuman (TUC),Aerolineas Argentinas,E190 (LV-GBK),,Landed 20:34
19:55,AR1657,Neuquen (NQN),Aerolineas Argentinas,B738 (LV-GKT),,Landed 19:59
20:00,FO6063,Mendoza (MDZ),Flybondi,B738 (LV-HKN),,Unknown
20:12,LA425,Santiago (SCL),LATAM Airlines,A320 (PR-TYV),,Landed 19:52
20:20,AR1873,El Calafate (FTE),Aerolineas Argentinas,B738 (LV-FYK),,Landed 19:55
20:29,WJ3241,Mendoza (MDZ),JetSMART (Kingfisher Livery),A320 (LV-KJA),,Landed 21:47
20:40,AR1851,Trelew (REL),Aerolineas Argentinas,B738 (LV-FUC),,Landed 20:25
20:45,FO5065,Mendoza (MDZ),Flybondi,B738 (LV-HKN),,Landed 20:43
20:50,H2535,Santiago (SCL),Sky Airline,A20N (CC-AZN),,Landed 20:56
20:55,AR1761,Formosa (FMA),Aerolineas Argentinas,B737 (LV-CAD),,Landed 20:31
21:00,AR1601,Mar del Plata (MDQ),Aerolineas Argentinas,E190 (LV-CET),,Landed 21:06
21:05,AR1715,Rosario (ROS),Aerolineas Argentinas,B738 (LV-FWS),,Landed 20:53
21:10,LA8138,Sao Paulo (GRU),LATAM Airlines,A320 (PR-TYO),,Landed 21:01
21:25,AR1857,Puerto Madryn (PMY),Aerolineas Argentinas,738,,Canceled
21:30,JA1007,Santiago (SCL),JetSMART (Scarlet Macaw Livery),A20N (CC-AWZ),,Landed 22:12
21:40,FO6105,Puerto Iguazu (IGR),Flybondi,738,,Unknown
21:45,AR1521,Santa Rosa (RSA),Aerolineas Argentinas,E190 (LV-CID),,Landed 21:25
21:50,AR1243,Sao Paulo (GRU),Aerolineas Argentinas,B738 (LV-GVC),,Landed 21:43
21:55,AR1669,Neuquen (NQN),Aerolineas Argentinas,E190 (LV-GIK),,Landed 22:28
22:05,AR1475,Jujuy (JUJ),Aerolineas Argentinas,B738 (LV-CXS),,Landed 22:04
22:10,AR1439,Merlo (RLO),Aerolineas Argentinas,E190 (LV-CEU),,Landed 21:59
22:15,AR1403,Mendoza (MDZ),Aerolineas Argentinas,B738 (LV-FQZ),,Landed 22:31
22:20,AR1878,El Calafate (FTE),Aerolineas Argentinas,B738 (LV-GKU),,Landed 21:50
22:25,AR1735,Puerto Iguazu (IGR),Aerolineas Argentinas,B38M (LV-KKE),,Landed 22:25
22:25,AR1831,Ushuaia (USH),Aerolineas Argentinas,B737 (LV-CBF),,Landed 22:15
22:25,AR1383,Montevideo (MVD),Aerolineas Argentinas,E190 (LV-CIE),,Landed 22:07
22:30,FO5305,Neuquen (NQN),Flybondi,B738 (LV-KEG),,Unknown
22:35,AR1639,San Carlos de Bariloche (BRC),Aerolineas Argentinas,B738 (LV-FQC),,Landed 22:35
22:36,WJ3273,Cordoba (COR),JetSMART (King Penguin Livery),A320 (LV-JQE),,Landed 22:18
22:45,AR1233,Porto Alegre (POA),Aerolineas Argentinas,B738 (LV-FVO),,Landed 22:41
22:45,AR1823,Comodoro Rivadavia (CRD),Aerolineas Argentinas,E190 (LV-CHS),,Landed 22:38
22:45,AR1425,San Juan (UAQ),Aerolineas Argentinas (Skyteam Livery),B737 (LV-BZA),,Landed 22:45
23:00,FO5953,Florianopolis (FLN),Flybondi,738,,Unknown
23:05,AR1473,Jujuy (JUJ),Aerolineas Argentinas (Retro Livery),B737 (LV-GOO),,Landed 23:28
23:05,AR1501,Cordoba (COR),Aerolineas Argentinas,B738 (LV-FRK),,Landed 22:55
23:15,AR1527,Rio Cuarto (RCU),Aerolineas Argentinas,E190 (LV-CHO),,Landed 23:44
23:20,AR1497,Salta (SLA),Aerolineas Argentinas,B738 (LV-FXQ),,Landed 23:03
23:25,AR1491,Santiago del Estero (SDE),Aerolineas Argentinas (SkyTeam Livery),E190 (LV-FPS),,Landed 23:10
23:25,AR1611,Mar del Plata (MDQ),Aerolineas Argentinas,B38M (LV-KEJ),,Landed 23:31
23:25,AR1647,San Carlos de Bariloche (BRC),Aerolineas Argentinas,B38M (LV-GVE),,Landed 22:58
23:25,AR1741,Puerto Iguazu (IGR),Aerolineas Argentinas,E190 (LV-FPT),,Landed 23:14
23:25,AR1763,Posadas (PSS),Aerolineas Argentinas,E190 (LV-CPI),,Landed 23:06
23:50,FO5057,Mendoza (MDZ),Flybondi,B738 (LV-HKN),,Unknown
23:55,AR1219,Brasilia (BSB),Aerolineas Argentinas,B38M (LV-HKU),,Landed 00:14
"Monday, Dec 04",,,,,,
0:19,WJ3391,Puerto Iguazu (IGR),JetSMART Argentina,320,,Unknown
0:25,AR1849,El Calafate (FTE),Aerolineas Argentinas,B738 (LV-GGK),,Landed 00:27
0:39,WJ3249,Mendoza (MDZ),JetSMART (Jaguar Livery),A320 (LV-HVT),,Landed 00:24
0:40,AR1283,Santiago (SCL),Aerolineas Argentinas,B738 (LV-GGQ),,Landed 00:33
1:05,FO5223,Tucuman (TUC),Flybondi,738,,Unknown
1:09,WJ3399,Puerto Iguazu (IGR),JetSMART (Culpeo Livery),A320 (LV-IVN),,Landed 00:55
1:21,WJ3273,Cordoba (COR),JetSMART Argentina,320,,Unknown
1:45,AR1679,San Carlos de Bariloche (BRC),Aerolineas Argentinas,B38M (LV-KEI),,Landed 01:50
1:55,FO5057,Mendoza (MDZ),Flybondi,B738 (LV-HKN),,Landed 01:54
2:24,WJ3393,Puerto Iguazu (IGR),JetSMART (Kingfisher Livery),A320 (LV-KJA),,Landed 03:01
2:35,AR1259,Sao Paulo (GRU),Aerolineas Argentinas,E190 (LV-CHQ),,Landed 03:42
3:00,AR1967,Salta (SLA),Aerolineas Argentinas,B737 (LV-CAD),,Landed 03:53
3:20,AR1263,Rio de Janeiro (GIG),Aerolineas Argentinas,B738 (LV-GVB),,Landed 03:05
4:05,AR1247,Sao Paulo (GRU),Aerolineas Argentinas,B738 (LV-FVN),,Landed 03:56
4:10,AR1053,Sao Paulo (GRU),Aerolineas Argentinas,B38M (LV-HKV),,Landed 03:47
